,Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%
0,1,Deshaun Watson*,HOU,25,QB,16,16,382,544,4823,5,19,2,19,3.6%,79,15.1%,420,80.3%
1,2,Patrick Mahomes*,KAN,25,QB,15,15,390,588,4740,8,20,1,28,4.9%,100,17.6%,436,76.9%
2,3,Tom Brady,TAM,43,QB,16,16,401,610,4633,4,13,4,31,5.2%,122,20.6%,438,73.9%
3,4,Matt Ryan,ATL,35,QB,16,16,407,626,4581,6,18,1,33,5.4%,89,14.7%,458,75.5%
4,5,Josh Allen*,BUF,24,QB,16,16,396,572,4544,4,22,0,25,4.5%,88,16.0%,435,79.1%
5,6,Justin Herbert,LAC,22,QB,15,15,396,595,4336,7,7,4,23,3.9%,105,18.0%,447,76.5%
6,7,Aaron Rodgers*+,GNB,37,QB,16,16,372,526,4299,3,23,3,27,5.4%,69,13.8%,406,81.2%
7,8,Kirk Cousins,MIN,32,QB,16,16,349,516,4265,11,27,3,18,3.7%,67,13.8%,395,81.3%
8,9,Russell Wilson*,SEA,32,QB,16,16,384,558,4212,4,24,1,27,5.1%,84,15.8%,424,79.5%
9,10,Philip Rivers,IND,39,QB,16,16,369,543,4169,11,14,3,17,3.2%,84,16.0%,406,77.2%
10,11,Derek Carr,LVR,29,QB,16,16,348,517,4103,5,20,4,20,4.1%,79,16.0%,389,78.9%
11,12,Matthew Stafford,DET,32,QB,16,16,339,528,4084,7,7,7,33,6.4%,94,18.3%,399,77.6%
12,13,Kyler Murray*,ARI,23,QB,16,16,375,558,3971,14,25,8,13,2.5%,88,16.8%,405,77.1%
13,14,Jared Goff,LAR,26,QB,15,15,370,552,3952,6,24,2,27,5.1%,84,16.0%,413,78.5%
14,15,Ryan Tannehill,TEN,32,QB,16,16,315,481,3819,8,19,0,20,4.3%,63,13.6%,357,77.3%
15,16,Ben Roethlisberger,PIT,38,QB,15,15,399,608,3803,13,2,0,39,6.4%,91,15.0%,463,76.4%
16,17,Teddy Bridgewater,CAR,28,QB,15,15,340,492,3733,5,19,2,20,4.2%,61,13.0%,379,80.5%
17,18,Baker Mayfield,CLE,25,QB,16,16,305,486,3563,8,28,5,21,4.6%,85,18.8%,339,74.8%
18,19,Daniel Jones,NYG,23,QB,14,14,280,448,2943,8,14,2,23,5.3%,76,17.6%,325,75.2%
19,20,Drew Brees,NOR,41,QB,12,12,275,390,2942,3,7,2,21,5.5%,51,13.4%,308,80.8%
20,21,Drew Lock,DEN,24,QB,13,13,254,443,2933,5,13,2,25,5.8%,98,22.9%,295,68.9%
21,22,Lamar Jackson,BAL,23,QB,15,15,242,376,2757,6,9,3,20,5.5%,64,17.6%,274,75.3%
22,23,Joe Burrow,CIN,24,QB,10,10,264,404,2688,4,8,3,19,4.8%,58,14.8%,296,75.3%
23,24,Cam Newton,NWE,31,QB,15,15,242,368,2657,9,11,2,15,4.2%,70,19.7%,265,74.6%
24,25,Carson Wentz,PHI,28,QB,12,12,251,437,2620,6,21,1,23,5.5%,90,21.7%,292,70.4%
25,26,Nick Mullens,SFO,25,QB,10,8,211,326,2437,7,6,0,17,5.3%,48,15.0%,241,75.3%
26,27,Gardner Minshew II,JAX,24,QB,9,8,216,327,2259,4,15,1,10,3.2%,58,18.6%,238,76.5%
27,28,Sam Darnold,NYJ,23,QB,12,12,217,364,2208,7,21,3,14,4.1%,62,18.2%,244,71.8%
28,29,Andy Dalton,DAL,33,QB,11,9,216,333,2170,5,14,0,21,6.6%,48,15.0%,250,78.4%
